network,m0,m1,m2,m3,m4,m5,m6,total
autotrophic,      86,      65,     167,      22,     834,     367,     275,    1816
autotrophic,     109,     143,     277,      33,     910,     455,     318,    2245
autotrophic,     125,      83,     224,      37,     934,     433,     318,    2154
autotrophic,     120,      80,     182,      27,     966,     448,     251,    2074
autotrophic,      95,      90,     183,      25,     850,     357,     341,    1941
autotrophic,     104,      80,     232,      34,     772,     390,     260,    1872
autotrophic,     129,     174,     212,      43,     882,     497,     390,    2327
autotrophic,      98,     116,     194,      24,     803,     445,     285,    1965
autotrophic,      94,     126,     177,      30,     876,     420,     305,    2028
autotrophic,     103,      93,     204,      18,     778,     417,     241,    1854
autotrophic,     113,      91,     213,      18,     807,     371,     240,    1853
autotrophic,     103,     107,     190,      40,     856,     466,     263,    2025
autotrophic,      75,      94,     223,      18,     719,     371,     180,    1680
autotrophic,      67,     151,     230,      26,     859,     403,     233,    1969
autotrophic,      64,     103,     262,      24,     875,     398,     279,    2005
autotrophic,      86,      76,     169,      37,     911,     484,     270,    2033
autotrophic,     104,      83,     223,      37,     906,     443,     294,    2090
autotrophic,      97,     129,     236,      33,     992,     380,     295,    2162
autotrophic,     107,      98,     186,      30,     948,     463,     304,    2136
autotrophic,     105,     114,     210,      33,     866,     446,     308,    2082
autotrophic,     108,      69,     190,      24,     995,     423,     216,    2025
autotrophic,      60,     122,     244,      26,     684,     356,     255,    1747
autotrophic,     104,      91,     195,      42,     995,     457,     228,    2112
autotrophic,     110,      68,     183,      12,     752,     474,     228,    1827
autotrophic,      76,     199,     206,      53,     876,     427,     386,    2223
autotrophic,      72,     100,     200,      26,     706,     341,     262,    1707
autotrophic,      88,     119,     220,      19,     818,     544,     304,    2112
autotrophic,      59,     105,     183,      44,     891,     443,     343,    2068
autotrophic,     102,      89,     194,      27,     771,     438,     260,    1881
autotrophic,     103,      82,     238,      30,     720,     401,     268,    1842
autotrophic,      81,      85,     229,      40,     822,     338,     298,    1893
autotrophic,      66,     104,     182,      14,     906,     489,     303,    2064
autotrophic,      93,     105,     220,      40,     766,     491,     317,    2032
autotrophic,      83,     130,     167,      28,     860,     415,     286,    1969
autotrophic,      76,      64,     243,      16,     835,     395,     307,    1936
autotrophic,      69,      97,     161,      15,     698,     332,     240,    1612
autotrophic,      99,     102,     169,      28,     818,     424,     288,    1928
autotrophic,      87,      80,     217,      30,     850,     445,     230,    1939
autotrophic,     127,      98,     196,      25,     838,     473,     251,    2008
autotrophic,      92,      89,     196,      29,     814,     490,     330,    2040
autotrophic,      97,     100,     151,      35,     799,     405,     283,    1870
autotrophic,     107,     101,     191,      31,     776,     405,     285,    1896
autotrophic,      82,     104,     206,      46,     925,     446,     270,    2079
autotrophic,      86,      94,     205,      17,     851,     390,     304,    1947
autotrophic,      89,      92,     169,      35,     838,     379,     255,    1857
autotrophic,     109,      99,     192,      53,     826,     355,     299,    1933
autotrophic,     141,     154,     243,      57,     939,     425,     278,    2237
autotrophic,     101,      76,     194,      21,     877,     409,     254,    1932
autotrophic,      99,     131,     150,      37,     980,     440,     331,    2168
autotrophic,      90,     158,     191,      32,     710,     390,     336,    1907
combustion,     957,     155,     353,     194,    2097,    1754,    1114,    6624
combustion,     998,     160,     387,     197,    2189,    1955,    1200,    7086
combustion,    1033,     155,     393,     212,    2210,    1824,    1131,    6958
combustion,     991,     161,     403,     240,    2185,    1768,    1098,    6846
combustion.gml,    2720,     221,     362,     236,    5258,    1998,     797,   11592
combustion,    1059,     165,     404,     239,    2305,    1809,    1146,    7127
combustion,     959,     143,     361,     220,    2098,    1695,    1081,    6557
combustion,    1052,     164,     432,     278,    2276,    1869,    1198,    7269
combustion,     926,     169,     337,     213,    2015,    1608,    1102,    6370
combustion,    1113,     186,     446,     206,    2293,    1966,    1216,    7426
combustion,    1007,     159,     379,     224,    2125,    1800,    1105,    6799
combustion,    1083,     180,     379,     257,    2212,    1941,    1237,    7289
combustion,    1095,     164,     417,     266,    2171,    1855,    1162,    7130
combustion,    1084,     172,     390,     228,    2250,    1803,    1098,    7025
combustion,     943,     163,     371,     241,    2084,    1893,    1184,    6879
combustion,     979,     157,     401,     206,    2036,    1741,    1116,    6636
combustion,     994,     148,     380,     217,    2165,    1693,    1080,    6677
combustion,    1047,     150,     389,     266,    2198,    1785,    1188,    7023
combustion,    1043,     164,     390,     241,    2092,    1921,    1244,    7095
combustion,    1074,     174,     393,     247,    2216,    1826,    1187,    7117
combustion,    1083,     171,     433,     239,    2159,    1789,    1173,    7047
combustion,     985,     153,     410,     232,    2192,    1776,    1081,    6829
combustion,     972,     154,     364,     219,    2079,    1699,    1112,    6599
combustion,    1056,     171,     397,     246,    2157,    1741,    1052,    6820
combustion,    1133,     167,     436,     230,    2272,    1880,    1211,    7329
combustion,    1063,     162,     433,     196,    2166,    1789,    1171,    6980
combustion,    1041,     150,     366,     236,    2179,    1783,    1131,    6886
combustion,    1019,     165,     380,     218,    2132,    1717,    1056,    6687
combustion,    1006,     160,     400,     239,    2094,    1719,    1136,    6754
combustion,     966,     185,     367,     213,    2168,    1861,    1069,    6829
combustion,    1070,     146,     415,     233,    2092,    1923,    1176,    7055
combustion,    1073,     161,     408,     244,    2216,    1820,    1214,    7136
combustion,     932,     180,     402,     206,    2157,    1765,    1064,    6706
combustion,    1165,     193,     415,     272,    2198,    1953,    1225,    7421
combustion,    1037,     165,     361,     247,    2147,    1804,    1183,    6944
combustion,    1075,     166,     390,     250,    2251,    1927,    1244,    7303
combustion,    1048,     193,     399,     231,    2193,    1908,    1210,    7182
combustion,    1103,     151,     418,     218,    2216,    1857,    1174,    7137
combustion,    1016,     152,     389,     215,    2231,    1862,    1122,    6987
combustion,     980,     155,     365,     214,    2092,    1765,    1100,    6671
combustion,    1060,     176,     466,     266,    2267,    1740,    1238,    7213
combustion,    1061,     182,     446,     219,    2235,    1956,    1182,    7281
combustion,    1038,     166,     389,     218,    2118,    1798,    1101,    6828
combustion,    1055,     151,     383,     275,    2147,    1897,    1182,    7090
combustion,    1114,     175,     386,     277,    2174,    1881,    1199,    7206
combustion,     952,     170,     367,     203,    2059,    1782,    1103,    6636
combustion,    1168,     201,     367,     291,    2317,    2034,    1241,    7619
combustion,    1106,     166,     385,     261,    2155,    1844,    1238,    7155
combustion,    1139,     211,     409,     261,    2242,    1880,    1197,    7339
combustion,    1054,     168,     429,     232,    2143,    1772,    1209,    7007
combustion,    1026,     184,     370,     224,    2141,    1808,    1237,    6990
ecoli,    3716,    2234,    2655,    1123,   19438,    8568,   10396,   48130
ecoli,    3559,    2792,    3003,    1470,   18784,    9434,   11226,   50268
ecoli,    4073,    2225,    3120,    1139,   19806,    8744,    9513,   48620
ecoli,    3025,    1944,    3047,    1543,   16359,    9115,    9212,   44245
ecoli,    4516,    2042,    2880,    1103,   20568,    9481,    8348,   48938
ecoli,    3337,    1871,    2854,    1216,   19670,    9049,    9555,   47552
ecoli,    3656,    1914,    3084,    1411,   20121,   10146,    8611,   48943
ecoli,    3587,    2561,    2761,    1285,   17352,    8669,   10348,   46563
ecoli,    3541,    2504,    3195,    1473,   22752,    9958,   11382,   54805
ecoli,    2968,    2254,    2863,    1201,   16491,    7911,    9110,   42798
ecoli,    4138,    2652,    2950,    1401,   18534,    9498,   11500,   50673
ecoli,    3880,    2344,    2863,    1125,   18417,    8727,    8544,   45900
ecoli,    2667,    1968,    2837,    1076,   17444,    8219,    8793,   43004
ecoli,    3161,    2414,    2502,    1432,   17699,    9064,    9160,   45432
ecoli,    3536,    1948,    3014,    1227,   17887,    8773,    9964,   46349
ecoli,    3552,    2392,    2958,    1503,   18186,    9764,   10811,   49166
ecoli,    3101,    2131,    2611,    1265,   19278,    8480,   10055,   46921
ecoli,    3118,    2419,    3016,    1424,   16708,    8957,    9069,   44711
ecoli,    3862,    2216,    2791,    1346,   18597,    9278,   10512,   48602
ecoli,    3138,    2888,    2741,    1643,   19153,    9164,   12375,   51102
ecoli,    3445,    2132,    2945,    1708,   19038,   10129,   10072,   49469
ecoli.gml,   21890,    5941,   13615,    6385,   74958,    7854,    8831,  139474
ecoli,    3026,    2243,    3125,    1127,   17396,    8246,    8975,   44138
ecoli,    2556,    2215,    2985,    1434,   19080,    9308,    9220,   46798
ecoli,    3222,    2470,    3053,     980,   18080,    8009,    9508,   45322
ecoli,    3313,    2039,    2707,    1215,   16981,    7867,    9289,   43411
ecoli,    2893,    2005,    2818,    1106,   20019,    9060,    8526,   46427
ecoli,    3420,    2294,    3031,    1594,   18381,   10040,   10053,   48813
ecoli,    3461,    2287,    2967,    1446,   20862,    9894,   10370,   51287
ecoli,    2919,    2551,    2793,    1104,   16721,    8141,    8821,   43050
ecoli,    3477,    2158,    2662,    1179,   18034,    8968,    8650,   45128
ecoli,    2508,    2637,    3052,    1021,   18970,    8315,   10199,   46702
ecoli,    3886,    2266,    2690,    1471,   20500,    9437,   11530,   51780
ecoli,    2859,    1983,    3023,    1214,   18539,    8372,    9282,   45272
ecoli,    3634,    2365,    2679,    1321,   18157,    8575,   10148,   46879
ecoli,    5154,    2534,    2999,    1341,   19672,    9733,   11381,   52814
ecoli,    3086,    2570,    3023,    1401,   20800,    8742,   11874,   51496
ecoli,    4125,    2300,    2866,    1253,   19255,    9755,    9026,   48580
ecoli,    2922,    2455,    2910,    1047,   16784,    7578,    9583,   43279
ecoli,    3079,    2437,    2893,    1078,   18134,    8132,    9459,   45212
ecoli,    3919,    2739,    3001,    1323,   16435,    8280,   10381,   46078
ecoli,    3659,    2700,    2805,    1337,   19075,    9043,    9946,   48565
ecoli,    4344,    2219,    2705,    1123,   18856,    8335,   10016,   47598
ecoli,    3218,    2861,    2876,    1674,   19213,   10579,    9840,   50261
formose,      64,      26,       9,      30,      90,      59,     110,     388
formose,      75,      18,       4,      15,      69,      36,      86,     303
formose,      89,      38,       3,      27,      74,      49,     130,     410
ecoli,    3910,    2658,    3186,    1341,   19745,    9810,    9517,   50167
formose,      51,      33,       1,      17,      83,      44,     124,     353
formose,      80,      19,       1,      15,      81,      45,     107,     348
formose,      96,      28,       5,      23,     104,      50,     135,     441
formose,     102,      33,       7,      15,     102,      45,     174,     478
formose,      95,      17,       7,      20,     121,      73,     134,     467
formose,      71,      20,       2,      22,      60,      53,     114,     342
formose,      94,      11,       8,      25,     102,      95,     123,     458
formose,      82,      49,       2,      37,      86,      58,     130,     444
